Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Population total,SP.POP.TOTL,Australia,AUS,25340217
Population total,SP.POP.TOTL,Korea,KOR,51764822
Population total,SP.POP.TOTL,Japan,JPN,126633000
Population total,SP.POP.TOTL,New Zealand,NZL,4979200
Population total,SP.POP.TOTL,Thailand,THA,71307763
Population total,SP.POP.TOTL,Philippines,PHL,110380804
Population total,SP.POP.TOTL,Singapore,SGP,5703569
Population total,SP.POP.TOTL,Indonesia,IDN,269582878
Population total,SP.POP.TOTL,Malaysia,MYS,32804020
Population total,SP.POP.TOTL,Vietnam,VNM,95776716
Population total,SP.POP.TOTL,China,CHN,1407745000
